epoch,accuracy,loss,val_accuracy,val_loss
0,0.6563766598701477,0.5956063270568848,0.8498331308364868,0.36996883153915405
1,0.8567342162132263,0.3718864321708679,0.8804227113723755,0.3115735352039337
2,0.8904648423194885,0.2945058345794678,0.8815350532531738,0.3185003101825714
3,0.9070321917533875,0.2501196563243866,0.8698554039001465,0.3716059625148773
4,0.9183551669120789,0.21076110005378723,0.8676307201385498,0.38722318410873413
5,0.9269368052482605,0.1871204972267151,0.8604004383087158,0.5990191698074341
6,0.9320619702339172,0.1698710173368454,0.8086763024330139,0.5005095601081848
7,0.9376639127731323,0.14990323781967163,0.8275862336158752,0.6445295810699463
8,0.9466031193733215,0.12854734063148499,0.847052276134491,0.8392655253410339
9,0.9501788020133972,0.11865880340337753,0.8381534814834595,0.7631427049636841
10,0.9549463391304016,0.11501359939575195,0.825917661190033,0.8161222338676453
11,0.9573301672935486,0.10219442844390869,0.8348164558410645,0.9038500189781189
